U+0021	!
亦-Kaisho	U+4ea6	亦
U+4ea6	亦
亨-Kaisho	U+4ea8	亨
U+4ea8	亨
享-Kaisho	U+4eab	享
U+4eab	享
京-Kaisho	U+4eac	京
U+4eac	京
亭-Kaisho	U+4ead	亭
U+4ead	亭
亮-Kaisho	U+4eae	亮
U+4eae	亮
亰-Kaisho	U+4eb0	亰
U+4eb0	亰
亳-Kaisho	U+4eb3	亳
U+4eb3	亳
亶-Kaisho	U+4eb6	亶
U+4eb6	亶
U+4eba	人
U+4ebb	亻
U+4ec0	什
U+4ec1	仁
U+4ec2	仂
U+4ec4	仄
U+4ec6	仆
U+4ec7	仇
U+4eca	今
U+4ecb	介
U+4ecd	仍
U+4ece	从
U+4ecf	仏
U+4ed4	仔
U+4ed5	仕
U+4ed6	他
U+4ed7	仗
U+4ed8	付
U+4ed9	仙
U+4ede	仞
U+4edf	仟
U+4ee3	代
令-Insatsu	U+4ee4	令
U+4ee4	令
U+4ee5	以
U+4eed	仭
U+4eee	仮
U+4ef0	仰
U+4ef2	仲
U+4ef6	件
U+4ef7	价
U+4efb	任
企-HzFst	U+4f01	企
U+4f01	企
伉-Kaisho	U+4f09	伉
U+4f09	伉
U+4f0a	伊
U+4f0d	伍
U+4f0e	伎
U+4f0f	伏
U+4f10	伐
休-Kaisho	U+4f11	休
U+4f11	休
U+4f1a	会
U+4f1c	伜
U+4f1d	伝
伯-Kaisho	U+4f2f	伯
U+4f2f	伯
U+4f30	估
U+4f34	伴
伶-Insatsu	U+4f36	伶
U+4f36	伶
伸-Kaisho	U+4f38	伸
U+4f38	伸
U+4f3a	伺
U+4f3c	似
U+4f3d	伽
佃-Kaisho	U+4f43	佃
U+4f43	佃
但-Kaisho	U+4f46	但
U+4f46	但
佇-Kaisho	U+4f47	佇
U+4f47	佇
位-Kaisho	U+4f4d	位
U+4f4d	位
U+4f4e	低
U+4f4f	住
住-VtLst	U+4f4f	住
U+4f50	佐
U+4f51	佑
U+4f53	体
U+4f55	何
佗-Kaisho	U+4f57	佗
U+4f57	佗
U+4f59	余
U+4f5a	佚
U+4f5b	佛
U+4f5c	作
U+4f5d	佝
U+4f5e	佞
U+4f69	佩
U+4f6f	佯
佰-Kaisho	U+4f70	佰
U+4f70	佰
U+4f73	佳
U+4f75	併
U+4f76	佶
佻-MidFst	U+4f7b	佻
U+4f7b	佻
佼-Kaisho	U+4f7c	佼
U+4f7c	佼
U+4f7f	使
U+4f83	侃
來-Kaisho	U+4f86	來
U+4f86	來
U+4f88	侈
U+4f8b	例
U+4f8d	侍
侏-Kaisho	U+4f8f	侏
U+4f8f	侏
侑-Kaisho	U+4f91	侑
U+4f91	侑
侖-Kaisho	U+4f96	侖
U+4f96	侖
侘-Kaisho	U+4f98	侘
U+4f98	侘
U+4f9b	供
依-Kaisho	U+4f9d	依
U+4f9d	依
U+4fa0	侠
U+4fa1	価
侫-Kaisho	U+4fab	侫
U+4fab	侫
U+4fad	侭
U+4fae	侮
U+4faf	侯
侵-Kaisho	U+4fb5	侵
U+4fb5	侵
U+4fb6	侶
便-Kaisho	U+4fbf	便
U+4fbf	便
係-Kaisho	U+4fc2	係
U+4fc2	係
U+4fc3	促
U+4fc4	俄
U+4fca	俊
俎-Kaisho	U+4fce	俎
U+4fce	俎
俐-Kaisho	U+4fd0	俐
U+4fd0	俐
俑-Kaisho	U+4fd1	俑
U+4fd1	俑
俔-Kaisho	U+4fd4	俔
U+4fd4	俔
U+4fd7	俗
U+4fd8	俘
俚-Kaisho	U+4fda	俚
俚-KaishoVtLst	U+4fda	俚
U+4fda	俚
U+4fdb	俛
保-Kaisho	U+4fdd	保
U+4fdd	保
U+4fdf	俟
U+4fe1	信
U+4fe3	俣
俤-Kaisho	U+4fe4	俤
U+4fe4	俤
俥-Kaisho	U+4fe5	俥
U+4fe5	俥
U+4fee	修
俯-Kaisho	U+4fef	俯
U+4fef	俯
俳-MdFst	U+4ff3	俳
U+4ff3	俳
俵-HzLst	U+4ff5	俵
U+4ff5	俵
俶-HzFst	U+4ff6	俶
U+4ff6	俶
U+4ff8	俸
俺-Kaisho	U+4ffa	俺
U+4ffa	俺
俾-Kaisho	U+4ffe	俾
U+4ffe	俾
倅-Kaisho	U+5005	倅
U+5005	倅
U+5006	倆
U+5009	倉
U+500b	個
倍-Kaisho	U+500d	倍
U+500d	倍
U+500f	倏
們-Kaisho	U+5011	們
U+5011	們
U+5012	倒
倒-VtFst	U+5012	倒
U+5014	倔
U+5016	倖
U+5019	候
U+501a	倚
借-Kaisho	U+501f	借
U+501f	借
倡-Kaisho	U+5021	倡
U+5021	倡
倣-Kaisho	U+5023	倣
U+5023	倣
値-Kaisho	U+5024	値
U+5024	値
倥-Kaisho	U+5025	倥
U+5025	倥
倦-Hyougai	U+5026	倦
U+5026	倦
U+5028	倨
U+5029	倩
倩-VtLst	U+5029	倩
倪-HzFst	U+502a	倪
U+502a	倪
倫-Kaisho	U+502b	倫
U+502b	倫
倬-KaishoHzFst	U+502c	倬
倬-Kaisho	U+502c	倬
U+502c	倬
U+502d	倭
倶-JinmeiKaisho	U+5036	倶
倶-Jinmei	U+5036	倶
倶-Kaisho	U+5036	倶
U+5036	倶
U+5039	倹
偃-Kaisho	U+5043	偃
U+5043	偃
U+5047	假
偈-Kaisho	U+5048	偈
U+5048	偈
U+5049	偉
偏-Kaisho	U+504f	偏
U+504f	偏
偐-Kaisho	U+5050	偐
U+5050	偐
偕-Kaisho	U+5055	偕
U+5055	偕
偖-Kaisho	U+5056	偖
U+5056	偖
U+505a	做
停-Kaisho	U+505c	停
U+505c	停
U+5065	健
U+506c	偬
偲-Kaisho	U+5072	偲
U+5072	偲
側-Kaisho	U+5074	側
U+5074	側
偵-KaishoHzFst	U+5075	偵
偵-Kaisho	U+5075	偵
U+5075	偵
偶-Kaisho	U+5076	偶
U+5076	偶
U+5078	偸
U+507d	偽
傀-Kaisho	U+5080	傀
U+5080	傀
傅-Kaisho	U+5085	傅
U+5085	傅
傍-Kaisho	U+508d	傍
U+508d	傍
傑-Kaisho	U+5091	傑
U+5091	傑
U+5098	傘
備-Kaisho	U+5099	備
U+5099	備
傚-Kaisho	U+509a	傚
U+509a	傚
U+50ac	催
傭-Kaisho	U+50ad	傭
U+50ad	傭
傲-Kaisho	U+50b2	傲
U+50b2	傲
U+50b3	傳
U+50b4	傴
債-Kaisho	U+50b5	債
債-KaishoVtLst	U+50b5	債
U+50b5	債
傷-Kaisho	U+50b7	傷
U+50b7	傷
傾-Kaisho	U+50be	傾
U+50be	傾
U+50c2	僂
僅-Hyougai	U+50c5	僅
僅-Jinmei	U+50c5	僅
U+50c5	僅
U+50c9	僉
U+50ca	僊
働-Kaisho	U+50cd	働
働-KaishoVtLst	U+50cd	働
U+50cd	働
U+50cf	像
U+50d1	僑
U+50d5	僕
U+50d6	僖
僚-Kaisho	U+50da	僚
U+50da	僚
U+50de	僞
僣-Kaisho	U+50e3	僣
U+50e3	僣
U+50e5	僥
僧-Kaisho	U+50e7	僧
U+50e7	僧
僭-Kaisho	U+50ed	僭
U+50ed	僭
僮-Kaisho	U+50ee	僮
僮-KaishoVtLst	U+50ee	僮
U+50ee	僮
僵-Kaisho	U+50f5	僵
U+50f5	僵
價-Kaisho	U+50f9	價
U+50f9	價
僻-Kaisho	U+50fb	僻
U+50fb	僻
U+5100	儀
U+5101	儁
儂-Kaisho	U+5102	儂
儂-KaishoVtLst	U+5102	儂
U+5102	儂
億-Kaisho	U+5104	億
U+5104	億
U+5109	儉
U+5112	儒
U+5114	儔
儕-Kaisho	U+5115	儕
儕-KaishoVt12	U+5115	儕
U+5115	儕
儖-HzFst	U+5116	儖
U+5116	儖
U+5118	儘
儘-VtLst	U+5118	儘
U+511a	儚
償-Kaisho	U+511f	償
U+511f	償
儡-Kaisho	U+5121	儡
U+5121	儡
優-Kaisho	U+512a	優
U+512a	優
儲-HyougaiKaisho	U+5132	儲
儲-Hyougai	U+5132	儲
儲-Kaisho	U+5132	儲
U+5132	儲
儷-Kaisho	U+5137	儷
U+5137	儷
U+513a	儺
U+513b	儻
儻-VtLst	U+513b	儻
儼-Kaisho	U+513c	儼
儼-KaishoVt3	U+513c	儼
U+513c	儼
U+513f	儿
U+5140	兀
U+5141	允
U+5143	元
U+5144	兄
充-Kaisho	U+5145	充
U+5145	充
兆-MidFst	U+5146	兆
U+5146	兆
U+5147	兇
U+5148	先
U+5149	光
U+514b	克
U+514c	兌
U+514d	免
兎-Hyougai	U+514e	兎
兎-Jinmei	U+514e	兎
U+514e	兎
児-Kaisho	U+5150	児
U+5150	児
兒-HzFst	U+5152	兒
U+5152	兒
U+5154	兔
U+515a	党
兜-Kaisho	U+515c	兜
U+515c	兜
U+5162	兢
U+5165	入
U+5168	全
全-VtLst	U+5168	全
U+5169	兩
U+516a	兪
U+516b	八
U+516c	公
六-Kaisho	U+516d	六
U+516d	六
U+516e	兮
U+5171	共
U+5173	关
U+5175	兵
其-Kaisho	U+5176	其
U+5176	其
具-Kaisho	U+5177	具
U+5177	具
典-Kaisho	U+5178	典
典-KaishoVtLst	U+5178	典
U+5178	典
U+517c	兼
冀-Kaisho	U+5180	冀
U+5180	冀
U+5182	冂
U+5185	内
U+5186	円
U+5189	冉
U+518a	冊
U+518c	册
U+518d	再
U+518f	冏
冐-Kaisho	U+5190	冐
U+5190	冐
冑-Kaisho	U+5191	冑
冑-KaishoVtLst	U+5191	冑
U+5191	冑
冒-Kaisho	U+5192	冒
U+5192	冒
冓-Kaisho	U+5193	冓
U+5193	冓
U+5195	冕
U+5196	冖
U+5197	冗
U+5199	写
U+51a0	冠
U+51a2	冢
冤-Hyougai	U+51a4	冤
U+51a4	冤
冥-Kaisho	U+51a5	冥
U+51a5	冥
U+51a6	冦
冨-Kaisho	U+51a8	冨
U+51a8	冨
冩-HzFst	U+51a9	冩
U+51a9	冩
冪-Kaisho	U+51aa	冪
U+51aa	冪
U+51ab	冫
U+51ac	冬
U+51b0	冰
U+51b1	冱
U+51b2	冲
U+51b3	决
U+51b4	冴
U+51b5	况
U+51b6	冶
冷-Insatsu	U+51b7	冷
U+51b7	冷
U+51bd	冽
U+51c4	凄
凄-VtLst	U+51c4	凄
U+51c5	凅
U+51c6	准
凉-Kaisho	U+51c9	凉
U+51c9	凉
U+51cb	凋
U+51cc	凌
凍-Kaisho	U+51cd	凍
U+51cd	凍
U+51d6	凖
凛-Kaisho	U+51db	凛
U+51db	凛
凜-Kaisho	U+51dc	凜
U+51dc	凜
凝-Kaisho	U+51dd	凝
U+51dd	凝
U+51e0	几
U+51e1	凡
U+51e6	処
U+51e7	凧
凩-Kaisho	U+51e9	凩
U+51e9	凩
凪-HzFst	U+51ea	凪
U+51ea	凪
U+51ed	凭
凰-Kaisho	U+51f0	凰
凰-KaishoVtLst	U+51f0	凰
U+51f0	凰
U+51f1	凱
U+51f5	凵
U+51f6	凶
U+51f8	凸
U+51f9	凹
U+51fa	出
U+51fd	函
U+51fe	凾
U+5200	刀
U+5202	刂
U+5203	刃
U+5204	刄
U+5206	分
切-Kaisho	U+5207	切
U+5207	切
U+5208	刈
刊-Kaisho	U+520a	刊
U+520a	刊
U+520b	刋
U+520e	刎
U+5211	刑
U+5214	刔
U+5217	列
U+521d	初
判-Kaisho	U+5224	判
U+5224	判
U+5225	別
U+5227	刧
利-Kaisho	U+5229	利
U+5229	利
U+522a	刪
U+522e	刮
U+5230	到
到-VtFst	U+5230	到
U+5233	刳
U+5236	制
U+5237	刷
U+5238	券
刹-Kaisho	U+5239	刹
U+5239	刹
刺-Kaisho	U+523a	刺
U+523a	刺
刻-Kaisho	U+523b	刻
U+523b	刻
剃-Kaisho	U+5243	剃
U+5243	剃
U+5244	剄
則-Kaisho	U+5247	則
U+5247	則
削-Kaisho	U+524a	削
U+524a	削
U+524b	剋
剌-Kaisho	U+524c	剌
U+524c	剌
前-Kaisho	U+524d	前
U+524d	前
U+524f	剏
剔-Kaisho	U+5254	剔
U+5254	剔
剖-Kaisho	U+5256	剖
U+5256	剖
U+525b	剛
U+525d	剝
U+525e	剞
U+5263	剣
剤-Kaisho	U+5264	剤
剤-KaishoVt6	U+5264	剤
U+5264	剤
剥-Jinmei	U+5265	剥
剥-Kaisho	U+5265	剥
U+5265	剥
剩-Kaisho	U+5269	剩
U+5269	剩
U+526a	剪
副-Kaisho	U+526f	副
U+526f	副
剰-Kaisho	U+5270	剰
U+5270	剰
U+5271	剱
割-Kaisho	U+5272	割
割-KaishoVtLst	U+5272	割
U+5272	割
U+5273	剳
U+5274	剴
U+5275	創
U+527d	剽
剿-Kaisho	U+527f	剿
U+527f	剿
劃-Kaisho	U+5283	劃
U+5283	劃
劇-HzFstLeRi	U+5287	劇
劇-HzFstRiLe	U+5287	劇
U+5287	劇
劇-VtFstRiLe	U+5287	劇
劈-Kaisho	U+5288	劈
U+5288	劈
U+5289	劉
U+528d	劍
劑-Kaisho	U+5291	劑
劑-KaishoVt12	U+5291	劑
U+5291	劑
U+5292	劒
U+5294	劔
U+529b	力
U+529f	功
U+52a0	加
U+52a3	劣
助-Kaisho	U+52a9	助
U+52a9	助
U+52aa	努
U+52ab	劫
U+52ac	劬
U+52ad	劭
U+52b1	励
U+52b4	労
U+52b5	劵
効-Kaisho	U+52b9	効
U+52b9	効
U+52bc	劼
劾-Kaisho	U+52be	劾
U+52be	劾
U+52c1	勁
U+52c3	勃
勅-Kaisho	U+52c5	勅
U+52c5	勅
勇-Kaisho	U+52c7	勇
U+52c7	勇
U+52c9	勉
勍-Kaisho	U+52cd	勍
U+52cd	勍
U+52d2	勒
動-Kaisho	U+52d5	動
動-KaishoVtLst	U+52d5	動
U+52d5	動
勗-Kaisho	U+52d7	勗
U+52d7	勗
勘-Kaisho	U+52d8	勘
U+52d8	勘
U+52d9	務
勝-Kaisho	U+52dd	勝
U+52dd	勝
U+52de	勞
募-Kaisho	U+52df	募
U+52df	募
U+52e0	勠
U+52e2	勢
勣-Kaisho	U+52e3	勣
勣-KaishoVtLst	U+52e3	勣
U+52e3	勣
U+52e4	勤
勤-VtLst	U+52e4	勤
勦-Kaisho	U+52e6	勦
U+52e6	勦
U+52e7	勧
勲-Kaisho	U+52f2	勲
勲-KaishoVtLst	U+52f2	勲
U+52f2	勲
U+52f3	勳
勳-VtLst	U+52f3	勳
勵-Kaisho	U+52f5	勵
U+52f5	勵
U+52f8	勸
U+52f9	勹
U+52fa	勺
U+52fe	勾
U+52ff	勿
U+5300	匀
U+5301	匁
U+5302	匂
U+5305	包
U+5306	匆
U+5308	匈
匍-Kaisho	U+530d	匍
U+530d	匍
U+530f	匏
匐-Kaisho	U+5310	匐
U+5310	匐
U+5315	匕
U+5316	化
北-Kaisho	U+5317	北
U+5317	北
匙-Kaisho	U+5319	匙
U+5319	匙
U+531a	匚
U+531d	匝
U+5320	匠
U+5321	匡
匡-VtLst	U+5321	匡
匣-Kaisho	U+5323	匣
U+5323	匣
匪-MdFst	U+532a	匪
U+532a	匪
U+532f	匯
匱-Kaisho	U+5331	匱
U+5331	匱
U+5333	匳
U+5338	匸
U+5339	匹
U+533a	区
U+533b	医
U+533f	匿
U+5340	區
U+5341	十
U+5343	千
U+5345	卅
U+5346	卆
U+5347	升
U+5348	午
U+5349	卉
U+534a	半
U+534d	卍
卑-Kaisho	U+5351	卑
U+5351	卑
卒-Kaisho	U+5352	卒
U+5352	卒
卓-KaishoHzFst	U+5353	卓
卓-Kaisho	U+5353	卓
U+5353	卓
U+5354	協
U+5357	南
単-Kaisho	U+5358	単
U+5358	単
博-Kaisho	U+535a	博
U+535a	博
U+535c	卜
卞-Kaisho	U+535e	卞
U+535e	卞
占-HzFst	U+5360	占
U+5360	占
U+5366	卦
U+5369	卩
U+536e	卮
U+536f	卯
U+5370	印
U+5371	危
即-Kaisho	U+5373	即
U+5373	即
U+5374	却
U+5375	卵
卵-TenLst	U+5375	卵
U+5377	卷
U+5378	卸
U+537b	卻
卿-HyougaiKaisho	U+537f	卿
卿-Hyougai	U+537f	卿
卿-Kaisho	U+537f	卿
U+537f	卿
U+5382	厂
U+5384	厄
U+5396	厖
厘-Kaisho	U+5398	厘
厘-KaishoVtLst	U+5398	厘
U+5398	厘
厚-Kaisho	U+539a	厚
U+539a	厚
原-Kaisho	U+539f	原
U+539f	原
厠-Kaisho	U+53a0	厠
U+53a0	厠
U+53a5	厥
厦-Kaisho	U+53a6	厦
U+53a6	厦
U+53a8	厨
厩-HyougaiKaisho	U+53a9	厩
厩-Hyougai	U+53a9	厩
U+53a9	厩
厭-Kaisho	U+53ad	厭
U+53ad	厭
厮-Kaisho	U+53ae	厮
U+53ae	厮
U+53b0	厰
厳-Kaisho	U+53b3	厳
厳-KaishoVt3	U+53b3	厳
U+53b3	厳
U+53b6	厶
U+53bb	去
U+53c2	参
U+53c3	參
U+53c8	又
叉-Jinmei	U+53c9	叉
U+53c9	叉
U+53ca	及
U+53cb	友
U+53cc	双
U+53cd	反
U+53ce	収
叔-HzFst	U+53d4	叔
U+53d4	叔
取-Kaisho	U+53d6	取
取-KaishoVt3	U+53d6	取
U+53d6	取
U+53d7	受
U+53d9	叙
叛-Hyougai	U+53db	叛
U+53db	叛
叟-Hyougai	U+53df	叟
U+53df	叟
叟-VtLst	U+53df	叟
叡-Kaisho	U+53e1	叡
U+53e1	叡
叢-Kaisho	U+53e2	叢
叢-KaishoVt3	U+53e2	叢
U+53e2	叢
U+53e3	口
U+53e4	古
U+53e5	句
U+53e8	叨
U+53e9	叩
U+53ea	只
U+53eb	叫
U+53ec	召
U+53ed	叭
U+53ee	叮
U+53ef	可
U+53f0	台
U+53f1	叱
U+53f2	史
U+53f3	右
U+53f6	叶
U+53f7	号
U+53f8	司
U+53fa	叺
U+5401	吁
U+5403	吃
U+5404	各
U+5408	合
U+5409	吉
U+540a	吊
U+540b	吋
U+540c	同
U+540d	名
U+540e	后
U+540f	吏
U+5410	吐
U+5411	向
U+541b	君
吝-Kaisho	U+541d	吝
U+541d	吝
U+541f	吟
U+5420	吠
U+5426	否
U+5429	吩
U+542b	含
U+542c	听
吭-Kaisho	U+542d	吭
U+542d	吭
U+542e	吮
U+5436	吶
U+5438	吸
U+5439	吹
U+543b	吻
U+543c	吼
U+543d	吽
U+543e	吾
U+5440	呀
U+5442	呂
呆-Kaisho	U+5446	呆
U+5446	呆
U+5448	呈
呈-VtLst	U+5448	呈
U+5449	呉
U+544a	告
U+544e	呎
呑-Jinmei	U+5451	呑
U+5451	呑
呟-Kaisho	U+545f	呟
U+545f	呟
U+5468	周
U+546a	呪
呰-HzFst	U+5470	呰
U+5470	呰
U+5471	呱
味-Kaisho	U+5473	味
U+5473	味
U+5475	呵
U+5476	呶
呷-Kaisho	U+5477	呷
U+5477	呷
呻-Kaisho	U+547b	呻
U+547b	呻
U+547c	呼
U+547d	命
咀-Kaisho	U+5480	咀
U+5480	咀
U+5484	咄
U+5486	咆
U+548b	咋
和-Kaisho	U+548c	和
U+548c	和
U+548e	咎
U+548f	咏
U+5490	咐
U+5492	咒
U+54a2	咢
咤-Kaisho	U+54a4	咤
U+54a4	咤
U+54a5	咥
咥-VtFst	U+54a5	咥
U+54a8	咨
U+54ab	咫
咬-HyougaiKaisho	U+54ac	咬
咬-Hyougai	U+54ac	咬
U+54ac	咬
U+54af	咯
U+54b2	咲
咳-Kaisho	U+54b3	咳
U+54b3	咳
U+54b8	咸
咼-HzFst	U+54bc	咼
U+54bc	咼
U+54bd	咽
U+54be	咾
哀-Kaisho	U+54c0	哀
U+54c0	哀
U+54c1	品
U+54c2	哂
U+54c4	哄
U+54c7	哇
U+54c8	哈
U+54c9	哉
U+54d8	哘
U+54e1	員
U+54e2	哢
哢-VtLst	U+54e2	哢
U+54e5	哥
U+54e6	哦
哨-HyougaiKaisho	U+54e8	哨
哨-Hyougai	U+54e8	哨
哨-Kaisho	U+54e8	哨
U+54e8	哨
哩-Kaisho	U+54e9	哩
哩-KaishoVtLst	U+54e9	哩
U+54e9	哩
U+54ed	哭
U+54ee	哮
U+54f2	哲
哺-Kaisho	U+54fa	哺
U+54fa	哺
哽-Kaisho	U+54fd	哽
U+54fd	哽
唄-Kaisho	U+5504	唄
U+5504	唄
U+5506	唆
U+5507	唇
U+550f	唏
唐-KaishoHzLst	U+5510	唐
唐-Kaisho	U+5510	唐
唐-KaishoVt5	U+5510	唐
U+5510	唐
U+5514	唔
U+5516	唖
U+552e	售
U+552f	唯
唱-Kaisho	U+5531	唱
U+5531	唱
U+5533	唳
U+5538	唸
唹-Kaisho	U+5539	唹
U+5539	唹
U+553e	唾
唾-VtLst	U+553e	唾
U+5540	啀
U+5544	啄
啅-KaishoHzFst	U+5545	啅
啅-Kaisho	U+5545	啅
U+5545	啅
商-Kaisho	U+5546	商
U+5546	商
啌-Kaisho	U+554c	啌
U+554c	啌
問-Kaisho	U+554f	問
U+554f	問
U+5553	啓
U+5556	啖
啗-HzFst	U+5557	啗
U+5557	啗
U+555c	啜
啝-Kaisho	U+555d	啝
U+555d	啝
U+5563	啣
啻-Kaisho	U+557b	啻
U+557b	啻
啼-Kaisho	U+557c	啼
U+557c	啼
啾-Kaisho	U+557e	啾
U+557e	啾
喀-Kaisho	U+5580	喀
U+5580	喀
U+5583	喃
